agenda_segment,matched_legislation,matched_transcript,combined_segment,headline,summary
"ROLL CALL
   Present 9 - Council Member Wilson, Council Member Kail-Smith, Council Member
Charland, Council Member Coghill, Council Member Lavelle, Council Member
Warwick, Council Member Gross, Council Member Strassburger, and Council
Member Mosley",NO_LEGISLATION,"Good morning and welcome to the standing committee's meeting for Wednesday, May 7 2025. All council meetings will be live streamed on the city's website and for guest speakers joining us at the table. please do not turn off your microphones. Our first order of business is roll call. The clerk. please take the role. Mr Sharland here. Mr Coghill, Miss gross, Mr Lavelle, Mr Mosley here. This is Kel Smith, This Warwick, Mr Wilson, Miss Strasburger, chair here. I'm mostly here. Sorry, This is council. Yes, Six members present, Thank you.","**Section of meeting agenda:**
ROLL CALL
   Present 9 - Council Member Wilson, Council Member Kail-Smith, Council Member
Charland, Council Member Coghill, Council Member Lavelle, Council Member
Warwick, Council Member Gross, Council Member Strassburger, and Council
Member Mosley

**Section of meeting legislation:**
NO_LEGISLATION

**Section of meeting transcript:**
Good morning and welcome to the standing committee's meeting for Wednesday, May 7 2025. All council meetings will be live streamed on the city's website and for guest speakers joining us at the table. please do not turn off your microphones. Our first order of business is roll call. The clerk. please take the role. Mr Sharland here. Mr Coghill, Miss gross, Mr Lavelle, Mr Mosley here. This is Kel Smith, This Warwick, Mr Wilson, Miss Strasburger, chair here. I'm mostly here. Sorry, This is council. Yes, Six members present, Thank you.",City council begins meeting with nine members present for roll call.,"• The city council meeting started on Wednesday, May 7, 2025, with roll call as the first item

• Nine council members were present at the start of the meeting: Wilson, Kail-Smith, Charland, Coghill, Lavelle, Warwick, Gross, Strassburger, and Mosley

• The meeting clerk counted only six members present during the actual roll call, which doesn't match the agenda showing nine members

• All council meetings are live streamed on the city's website for public viewing

• Guest speakers at the meeting were told to keep their microphones on during the session"
"PUBLIC COMMENT
   Edward Wrenn, Yvonne F. Brown, Special Agent Sunshine",NO_LEGISLATION,"Our next order of business is public comment. I would like to remind all speakers that the rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before city council. profanity will not be permitted. Please state your name and neighborhood for the record. You will have three minutes to speak And our first and only registered speaker is Edward Wren. Hi, can you hear me? We can hear you. Okay, great. So I apologize for having missed giving testimony before full council yesterday. My name is Edward, The Swiss Elm Park neighborhood of Pittsburgh, represented by council member Barb Warwick. She is the primary sponsor of the bill to amend city code to allow exceptions for vegetation other than trees and shrubs being no greater than 10 inches in height. I testify in favor of passing the bill on May 13th or postponing a vote in order to propose a new bill. Thank you, I will ask the council to prepare a more comprehensive approach to environmentally favorable land care in the near future. I will provide expanded written testimony to supplement my remarks. I appreciate the assistance that the Audubon society at Western PA has given in formulating the bill. However, I would also like for this council to consider input from other organizations. I'm a co founder of the Western PA area chapter of the national organization. While once plants natural landscapes, We have a suggested native planting ordinance created by one of our- volunteer- quote wild- lawyers. unquote. The Pennsylvania Native Plant Society has an extensive list of native plant ordinances in PA and elsewhere. Phipps Conservatory would be an excellent resource. Pasa Sustainable Agriculture would be a good resource about incorporating edible plants into landscaping code. Strategically, I would like for the city to center land care policy on the realization that grass lawns, including those with little or no foot traffic, have little environmental benefits but may cause various serious harms, as I will elaborate on in my written testimony. I would like for the city to keep this in mind in their own operations. For example, the city often uses loud and extraordinarily polluting gasoline and other natural gas products to protect its natural environment. The city has been working hard to keep the plant from being polluted by polluting power equipment, even though electric equipment has become increasingly affordable and effective. On the other hand, native plants are essential to biodiversity in our ecosystems and can address many expensive and disrupting problems, including flooding, landslides and urban heat island effects. They are beautiful and fascinating. Many people employed in lawn maintenance and other fields could be trained for more satisfying, more efficient and more efficient work in natural land care with less exposure to toxic chemicals. Thanks for your attention. Thanks very much. There being no further registered speakers, we will now take comments from those in the audience wishing to speak. Are there any speakers wishing to come to the podium? My name is Yvonne F Brown. I live at 75th Street and I live in the San Francisco area. I live in the San Francisco area for about a year and I'm a resident of San Francisco. I'm a resident of San Francisco and I'm a resident of San Francisco. I live at 715 Mercer Street, the top of the hill. Yesterday I came and I was trying to explain- well, I did explain that, walking down Carson Street yesterday the other day and noticed a trail of pennies and as I followed the pennies they went up a whole bunch of money within the doorway. All this money, all this, it's about two dollars and something of nickels and dimes and this cup. So this probably was a homeless person's cup. Well, I was trying to explain. the homeless fellow stopped me and was saying: Miss Yvonne, there's an Asian cop on the south side that's beating up the homeless people. He said they were in the doorway and I think they were asleep. but anyway, he came and assaulted them. They took their computer, their laptop, Laptop and, I think, a tablet. Only thing I was thinking is this: if you put them out the hallway, okay, you did, but why take their computer? why take their laptop? That's the only thing they have. And the same way with this, this man probably took a while to collect this money. This was his cup and you can tell the homeless people. I'm sorry I didn't come months ago when they told me to tell city council, But if he would come I would give him his money back and he can have his cup. I'm worried about where is this person and what happened to him. I know he wouldn't have automatically just left this money, not if he begged all day or whatever. You just need to look at how the homeless people are being treated in this city And also the mayor. I have no respect for him. when they showed, the police looked like they were harming the homeless person and the mayor didn't take up for it. say something: Understand, they are still human beings. they just don't have a place to lay their head that they can call their own. I live in a place that I can call my own, but I'm being threatened. We are in a building where we got a woman that's beating the old people up. She beat a mother and daughter with a hammer. The woman- the mother did. She also took a stick and beat the man. He was heavier than me and he's small- And I said: what are you? why are you so small? You're going to die. He said I got cancer. My daughter said, mom, it's not your fault. My daughter said: mommy, don't go down there telling him nothing because it sounds like you're the troublemaker. No, I have to. My sister died with cancer, 45 years old, And, like she was explaining to me, she said: Yvonne, even my bones hurt. So this man was just standing talking to another resident where this woman that don't live in the building went down the hill, came back up with the stick and whacked him in his head And he was saying: why are you doing this? I'm coming down here because gents can do this. And I said: why don't gents do that? Because gents can do something about it. And when we cried, the police said: is Arbor and Petique that's dropping the bauble? OK, I need to tell you more, but please help us, Please. Deborah. distinctive voice. Thank you very much. Sorry, Come on, baby. Deborah G room floor. OH, Deborah, Joy and sunshine. how's everybody? I return to send your new guru Hex's curse to send towards me 100 million billion trillion Googleplex And whoever is sending it. Lord, please throw them into a lake of fire. in Jesus' name, Dear God, thank you for loving me by providing protection against the enemy. Please help me rely on you and turn to you for help in the battle. Psalm 18. 2 says: The Lord is my rock and my fortress and my deliverer, my God, my rock in whom I take refuge, my shield and the horn of my salvation, my stronghold. Without him I don't know where I would be right now, but he has me here in front of you. It's amazing. Today's subject- I'm so sorry- is Pittsburgh Regional Transit CEO Catherine Egan and her daughter Kelly Kellerman. hello, how are you? Proverbs 10. 16 says The wages of the righteous brings them life, but the income of the wicked brings them punishment. Let's talk about this punishment. Right now, PRT is facing a budget deficit of 100 million starting July 1st 2025. they're proposing to serve the. there's a significant service cut, fares increased to address the shortfall. A power line went down this month. I think it was a punishment from God, because here's the situation: The Technology Committee was approved for 348,000 for employee validation and testing services that they don't need right now. So what do you need this 348,000 for right now? You guys think you're going on vacation too. It's the same thing here. I, I, I approved, You're approving this money and you're not using it for what it's needed for. So God brought this power line down to show you that he has power, and now you don't. You're already in deficit- 100 million. It's crazy, and you want a 117 million increase in state funding to maintain current employment, Current service levels. Really, He's laughing at y'all. I'm so sorry. he's laughing Because I went in there to the budget to the committee meeting, the board meeting. I went to the committee meeting, got these numbers, went to the board meeting and asked them: when's the last time you did something for the homeless? Well, I'm homeless, Please help me. They directed me to their next meeting. That meeting was Friday. Their next meeting was Tuesday. She didn't even get me bus fare. That power line went down, Service was completely shut down. They had one train and service was behind over 30 minutes. In Jesus' name, Thank you. Imagine that. There being no further speakers, we will now move on to our standing committee's agenda","**Section of meeting agenda:**
PUBLIC COMMENT
   Edward Wrenn, Yvonne F. Brown, Special Agent Sunshine

**Section of meeting legislation:**
NO_LEGISLATION

**Section of meeting transcript:**
Our next order of business is public comment. I would like to remind all speakers that the rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before city council. profanity will not be permitted. Please state your name and neighborhood for the record. You will have three minutes to speak And our first and only registered speaker is Edward Wren. Hi, can you hear me? We can hear you. Okay, great. So I apologize for having missed giving testimony before full council yesterday. My name is Edward, The Swiss Elm Park neighborhood of Pittsburgh, represented by council member Barb Warwick. She is the primary sponsor of the bill to amend city code to allow exceptions for vegetation other than trees and shrubs being no greater than 10 inches in height. I testify in favor of passing the bill on May 13th or postponing a vote in order to propose a new bill. Thank you, I will ask the council to prepare a more comprehensive approach to environmentally favorable land care in the near future. I will provide expanded written testimony to supplement my remarks. I appreciate the assistance that the Audubon society at Western PA has given in formulating the bill. However, I would also like for this council to consider input from other organizations. I'm a co founder of the Western PA area chapter of the national organization. While once plants natural landscapes, We have a suggested native planting ordinance created by one of our- volunteer- quote wild- lawyers. unquote. The Pennsylvania Native Plant Society has an extensive list of native plant ordinances in PA and elsewhere. Phipps Conservatory would be an excellent resource. Pasa Sustainable Agriculture would be a good resource about incorporating edible plants into landscaping code. Strategically, I would like for the city to center land care policy on the realization that grass lawns, including those with little or no foot traffic, have little environmental benefits but may cause various serious harms, as I will elaborate on in my written testimony. I would like for the city to keep this in mind in their own operations. For example, the city often uses loud and extraordinarily polluting gasoline and other natural gas products to protect its natural environment. The city has been working hard to keep the plant from being polluted by polluting power equipment, even though electric equipment has become increasingly affordable and effective. On the other hand, native plants are essential to biodiversity in our ecosystems and can address many expensive and disrupting problems, including flooding, landslides and urban heat island effects. They are beautiful and fascinating. Many people employed in lawn maintenance and other fields could be trained for more satisfying, more efficient and more efficient work in natural land care with less exposure to toxic chemicals. Thanks for your attention. Thanks very much. There being no further registered speakers, we will now take comments from those in the audience wishing to speak. Are there any speakers wishing to come to the podium? My name is Yvonne F Brown. I live at 75th Street and I live in the San Francisco area. I live in the San Francisco area for about a year and I'm a resident of San Francisco. I'm a resident of San Francisco and I'm a resident of San Francisco. I live at 715 Mercer Street, the top of the hill. Yesterday I came and I was trying to explain- well, I did explain that, walking down Carson Street yesterday the other day and noticed a trail of pennies and as I followed the pennies they went up a whole bunch of money within the doorway. All this money, all this, it's about two dollars and something of nickels and dimes and this cup. So this probably was a homeless person's cup. Well, I was trying to explain. the homeless fellow stopped me and was saying: Miss Yvonne, there's an Asian cop on the south side that's beating up the homeless people. He said they were in the doorway and I think they were asleep. but anyway, he came and assaulted them. They took their computer, their laptop, Laptop and, I think, a tablet. Only thing I was thinking is this: if you put them out the hallway, okay, you did, but why take their computer? why take their laptop? That's the only thing they have. And the same way with this, this man probably took a while to collect this money. This was his cup and you can tell the homeless people. I'm sorry I didn't come months ago when they told me to tell city council, But if he would come I would give him his money back and he can have his cup. I'm worried about where is this person and what happened to him. I know he wouldn't have automatically just left this money, not if he begged all day or whatever. You just need to look at how the homeless people are being treated in this city And also the mayor. I have no respect for him. when they showed, the police looked like they were harming the homeless person and the mayor didn't take up for it. say something: Understand, they are still human beings. they just don't have a place to lay their head that they can call their own. I live in a place that I can call my own, but I'm being threatened. We are in a building where we got a woman that's beating the old people up. She beat a mother and daughter with a hammer. The woman- the mother did. She also took a stick and beat the man. He was heavier than me and he's small- And I said: what are you? why are you so small? You're going to die. He said I got cancer. My daughter said, mom, it's not your fault. My daughter said: mommy, don't go down there telling him nothing because it sounds like you're the troublemaker. No, I have to. My sister died with cancer, 45 years old, And, like she was explaining to me, she said: Yvonne, even my bones hurt. So this man was just standing talking to another resident where this woman that don't live in the building went down the hill, came back up with the stick and whacked him in his head And he was saying: why are you doing this? I'm coming down here because gents can do this. And I said: why don't gents do that? Because gents can do something about it. And when we cried, the police said: is Arbor and Petique that's dropping the bauble? OK, I need to tell you more, but please help us, Please. Deborah. distinctive voice. Thank you very much. Sorry, Come on, baby. Deborah G room floor. OH, Deborah, Joy and sunshine. how's everybody? I return to send your new guru Hex's curse to send towards me 100 million billion trillion Googleplex And whoever is sending it. Lord, please throw them into a lake of fire. in Jesus' name, Dear God, thank you for loving me by providing protection against the enemy. Please help me rely on you and turn to you for help in the battle. Psalm 18. 2 says: The Lord is my rock and my fortress and my deliverer, my God, my rock in whom I take refuge, my shield and the horn of my salvation, my stronghold. Without him I don't know where I would be right now, but he has me here in front of you. It's amazing. Today's subject- I'm so sorry- is Pittsburgh Regional Transit CEO Catherine Egan and her daughter Kelly Kellerman. hello, how are you? Proverbs 10. 16 says The wages of the righteous brings them life, but the income of the wicked brings them punishment. Let's talk about this punishment. Right now, PRT is facing a budget deficit of 100 million starting July 1st 2025. they're proposing to serve the. there's a significant service cut, fares increased to address the shortfall. A power line went down this month. I think it was a punishment from God, because here's the situation: The Technology Committee was approved for 348,000 for employee validation and testing services that they don't need right now. So what do you need this 348,000 for right now? You guys think you're going on vacation too. It's the same thing here. I, I, I approved, You're approving this money and you're not using it for what it's needed for. So God brought this power line down to show you that he has power, and now you don't. You're already in deficit- 100 million. It's crazy, and you want a 117 million increase in state funding to maintain current employment, Current service levels. Really, He's laughing at y'all. I'm so sorry. he's laughing Because I went in there to the budget to the committee meeting, the board meeting. I went to the committee meeting, got these numbers, went to the board meeting and asked them: when's the last time you did something for the homeless? Well, I'm homeless, Please help me. They directed me to their next meeting. That meeting was Friday. Their next meeting was Tuesday. She didn't even get me bus fare. That power line went down, Service was completely shut down. They had one train and service was behind over 30 minutes. In Jesus' name, Thank you. Imagine that. There being no further speakers, we will now move on to our standing committee's agenda",City council hears public comments supporting a bill to allow taller native plants in yards and complaints about police treatment of homeless people.,"**City Council Hears Public Comments on Native Plant Bill and Homeless Issues**

• **Edward Wrenn spoke in favor of a bill** sponsored by Council member Barb Warwick that would change city rules to allow plants other than trees and shrubs to grow taller than 10 inches in yards

• **Wrenn asked council to either pass the bill on May 13th or delay the vote** to create a more complete plan for environmentally-friendly landscaping rules

• **He argued that grass lawns provide little environmental benefit** but can cause harm, while native plants help prevent flooding, landslides, and urban heat problems

• **Wrenn suggested the city work with local environmental groups** like the Audubon Society, Pennsylvania Native Plant Society, and Phipps Conservatory to improve the bill

• **He also criticized the city for using loud, polluting gas-powered equipment** to maintain city property instead of switching to cleaner electric tools

• **Yvonne Brown complained about police treatment of homeless people**, saying she found money and a cup belonging to a homeless person and heard reports of an officer assaulting homeless people and taking their computers

• **Brown also reported problems with violence in her building** and asked council for help with safety issues

• **A third speaker made various complaints** about Pittsburgh Regional Transit's budget problems and treatment of homeless people"
