item,link
2025-1814,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371372&GUID=8BD897AB-5E39-4E84-B67D-CF1D7943AD8D&Options=&Search=
2025-1815,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7372773&GUID=26DF20D3-6704-444C-85B0-4FDF3129497A&Options=&Search=
2025-1816,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7372787&GUID=6EE11797-E181-4396-9BC4-D808BBB23EB3&Options=&Search=
2025-1817,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7373159&GUID=9A5E15AE-9396-4B21-B3BE-16DC8CB259F7&Options=&Search=
2025-1797,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371355&GUID=C38E8874-D661-4865-A536-675E67324CBE&Options=&Search=
2025-1798,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371356&GUID=F8837F5B-DB7D-467C-9B54-1B61799F4C5E&Options=&Search=
2025-1799,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371357&GUID=503C1B8C-A0FF-42C6-8A1E-C55A62E42DF2&Options=&Search=
2025-1800,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371358&GUID=CA12968E-4F0D-45AC-AEE7-9F46B9D4DA0D&Options=&Search=
2025-1801,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371359&GUID=3906043D-21DE-4041-995E-A97D0B0F3D0A&Options=&Search=
2025-1801,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371359&GUID=3906043D-21DE-4041-995E-A97D0B0F3D0A&Options=&Search=
2025-1802,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371360&GUID=95F746DB-9CB7-4242-AA4A-0727D8769087&Options=&Search=
2025-1803,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371361&GUID=B55DEFC5-D5EA-4495-B6A8-F86947B67DC5&Options=&Search=
2025-1804,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371362&GUID=0530D29B-00AA-41F5-90EE-6088B690D894&Options=&Search=
2025-1805,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371363&GUID=C3DDF269-52DD-4525-A451-153C38FABBFB&Options=&Search=
2025-1806,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371364&GUID=9DEEF8F3-7907-4443-8198-845E917FD187&Options=&Search=
2025-1807,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371365&GUID=43C36E8F-79B7-49E9-89DE-88FC36E979CD&Options=&Search=
2025-1808,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371366&GUID=F58FFDF4-C386-446A-8DBA-7DF03586DC7A&Options=&Search=
2025-1809,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371367&GUID=04D620BA-DFC3-413B-9E6C-03C8781DA914&Options=&Search=
2025-1810,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371368&GUID=D910565A-60DD-4F72-AF27-39CE1AF7F1CF&Options=&Search=
2025-1811,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371369&GUID=BC35B1B3-EA9D-4556-817F-7BC809BD29FF&Options=&Search=
2025-1812,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371370&GUID=6F188F2F-E8D5-475D-A0FB-D390CFEA0A6C&Options=&Search=
2025-1813,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371371&GUID=9B68FE4A-EEEC-4217-B697-ABB07AC1A101&Options=&Search=
2025-1793,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371351&GUID=42CFBBF5-1C61-486F-BBD8-BF42C1523702&Options=&Search=
