item,link,text
2025-1769,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7350176&GUID=FD4C9265-6746-4C62-B045-3F82B754E547&Options=&Search=,"Title
Resolution transferring the amount of ten thousand dollars ($10,000.00) within the 2025 Operating Budget from City Council Salaries & Wages, Regular to the Office of the City Clerk for the purpose of professional services.
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Controller and the Office of Management and Budget are hereby authorized and directed to transfer a total of ten thousand dollars ($10,000.00)
  From:
City Council Salaries & Wages, Regular, JDE Account Number 11101.101100.51.51101.2025, subledger D2
  To:
The Office of the City Clerk Professional & Technical Services, Administrative Fees, JDE Account Number 11101.101200.53.53101.2025, subledger CC2"
2025-1833,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380102&GUID=BBBF24F0-D4C9-404E-B5E3-AE58458F8A5C&Options=&Search=,"Title
Resolution authorizing the issuance of a warrant payable in favor of Dickie McCamey & Chilcote for one-time legal services rendered for an amount not to exceed TWELVE THOUSAND FIVE HUNDRED THREE DOLLARS AND SEVENTY FIVE CENTS ($12,503.75) over one year.
(Executive Session held 5/13/25)
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant payable in favor of Dickie McCamey & Chilcote for one-time legal services rendered for an amount not to exceed TWELVE THOUSAND FIVE HUNDRED THREE DOLLARS AND SEVENTY FIVE CENTS ($12,503.75) over one year, charging and payable from 11101.106000.53.53901.2025."
0019-2025,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7404026&GUID=5B0B49E2-5545-47B9-8023-B4A38CE1DDA8&Options=&Search=,"title
P-Cards"
2025-1821,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380076&GUID=79312445-519F-437B-A629-419DAFB1DD0B&Options=&Search=,"Title
Resolution authorizing the Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Public Safety to enter into an Agreement or Agreements with the Pennsylvania Auto Theft Prevention Agency for the purpose of receiving grant funds in an amount not to exceed FIVE HUNDRED EIGHTY THREE THOUSAND ONE HUNDRED ($583,100) dollars to support the Auto Squad.
  Body
Be it further resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Public Safety, on behalf of the City of Pittsburgh, are authorized to enter into an Agreement or Agreements with the Pennsylvania Auto Theft Prevention Agency for the purpose of receiving grant funds in an amount not to exceed FIVE HUNDRED EIGHTY THREE THOUSAND ONE HUNDRED ($583,100) dollars to support the 2024-2025 Auto Squad Grant. Monies from the grant agreement shall be deposited into the Grants Trust Fund account 2329400516.48311.00.
  Section 2.                      The Mayor, the Director of the Office of Management and Budget and the Director of the Department of Public Safety, on behalf of the City of Pittsburgh, are further authorized to follow regular procurement processes to make all legitimate expenditures required by said Agreement(s) as outlined in Section 1. Said grant expenditures shall not exceed FIVE HUNDRED EIGHTY THREE THOUSAND ONE HUNDRED ($583,100), chargeable to and payable from the appropriate expense account in the Grant Trust Fund, job number 2329400516."
2025-1822,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380077&GUID=D7EF26FA-B455-4F81-AD31-1F770EAC34F2&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of Public Safety to enter on behalf of the City of Pittsburgh into an Agreement or Agreements with Von der haus Gill German Shepherds Inc., for the purchase of canines for the Bureau of Police, at a cost not to exceed THIRTY THOUSAND DOLLARS ($30,000.00) over three years.
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of Public Safety, on behalf of the City of Pittsburgh, are hereby authorized to enter into an Agreement of Agreements with Von der haus Gill German Shepherds Inc., to provide canines to Pittsburgh Bureau of Police at a cost not to exceed THIRTY THOUSAND DOLLARS ($30,000.00) over three years.
  Section 2.                      Funds for said agreement shall be chargeable and payable from the following chart of accounts:
  2025
11101.230000.53.53533.2025                                          $10,000.00
  2026
11101.230000.53.53533.2026                                          $10,000.00
  2027
11101.230000.53.53533.2027                                          $10,000.00
  TOTAL NOT TO EXCEED                                          $30,000.00
  Section 3.                     The agreements or agreements and amendments are subject to the approval of the City Solicitor as to form."
2025-1823,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380078&GUID=9F2E6AE8-CB88-49A8-A0E7-042FEE3461D8&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of Public Safety to enter on behalf of the City of Pittsburgh into an Agreement or Agreements with Brawner Group K-9 Services LLC., for the purchase of canines for the Bureau of Police, at a cost not to exceed THIRTY THOUSAND DOLLARS ($30,000.00) over three years.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of Public Safety, on behalf of the City of Pittsburgh, are hereby authorized to enter into an Agreement of Agreements with Brawner Group K-9 Services LLC., to provide canines to Pittsburgh Bureau of Police at a cost not to exceed THIRTY THOUSAND DOLLARS ($30,000.00) over three years.
  Section 2.                      Funds for said agreement shall be chargeable and payable from the following chart of accounts:
  2025
2329400120. 53533.00                                                               $9,500.00
  2026
11101.230000.53.53533.2026                                          $10,000.00
  2027
11101.230000.53.53533.2027                                          $10,500.00
  TOTAL NOT TO EXCEED                                          $30,000.00
  Section 3.                     The agreements or agreements and amendments are subject to the approval of the City Solicitor as to form."
2025-1830,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380099&GUID=973BB972-7748-4D90-BAE2-0D61FD2F495E&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of Finance to enter into an easement agreement or agreements with Duquesne Light Company for the installation and maintenance of one (1) pole and wires on and over City-owned parcel IDs 29-B-212 (ROMEO ST PITTSBURGH, PA 15213; Council District 3), 29-B-180 (ROMEO ST PITTSBURGH, PA 15213; Council District 3), 29-B-158 (BATES ST PITTSBURGH, PA 15213; Council District 3), and 29-B-157 (BATES ST PITTSBURGH, PA 15213; Council District 3) at no cost to the City.
  Body
WHEREAS, the City (“the Grantor”) is the owner in fee simple of those certain parcels of real property located in the 4th Ward of the City of Pittsburgh, County of Allegheny, Commonwealth of Pennsylvania, being identified as Parcel Tax ID Nos. 29-B-212, 29-B-180, 29-B-158, and 29-B-157; and
  WHEREAS, the Department of Mobility and Infrastructure (“DOMI”) is currently engaged in a project involving the realignment of certain City steps in the vicinity of the aforementioned City-owned parcels; and
  WHEREAS, in order to facilitate DOMI’s project, Duquesne Light Company has agreed to relocate certain of its existing poles and wires that are in the vicinity of DOMI’s project.
  Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1. The Mayor and the Director of Finance, on behalf of the City of Pittsburgh, are authorized to enter into an easement agreement or agreements with Duquesne Light Company for the installation, use, operation, maintenance, repair, and removal of one (1) pole and wires on City-owned parcel IDs 29-B-212 (ROMEO ST PITTSBURGH, PA 15213; Council District 3), 29-B-180 (ROMEO ST PITTSBURGH, PA 15213; Council District 3), 29-B-158 (BATES ST PITTSBURGH, PA 15213; Council District 3), and 29-B-157 (BATES ST PITTSBURGH, PA 15213; Council District 3).
  Section 2. The easement agreement or agreements shall be in a form and substance approved by the City Solicitor.
  Section 3. The area of the Easement is preliminarily depicted on the drawing that is attached hereto as Exhibit A.
  EXHIBIT A
PRELIMINARY DRAWING DEPICTING EASEMENT AREAS."
2024-0749,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=6782311&GUID=026015DB-01CD-46C8-B1C4-D6919AD0E969&Options=&Search=,"title
Resolution authorizing the Mayor and the Director of the Office of Management and Budget to enter into an Agreement or Agreement(s) with Auberle for services relating to Non-Congregate Shelter Services related to the HOME-ARP program, for a total not to exceed One Million Five-Hundred Thousand Dollars ($1,500,000.00). 
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.      The Mayor and the Director of the Office of Management and Budget, on behalf of the City of Pittsburgh, are hereby authorized to enter into an Agreement or Agreements with Auberle for services relating to Non-Congregate Shelter for the HOME-ARP program, for a total not to exceed of One Million Five-Hundred Thousand Dollars ($1,500,000.00). 
  Funds shall be paid from the following accounts:
  2021: 1226300721.58101.00 HOME-ARP $1,500,000.00
  Finally, that any Ordinance or Resolution or part thereof conflicting with the provisions of this Resolution, is hereby repealed so far as the same affects this Resolution."
2025-1829,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380098&GUID=F73FA54F-90B7-4F50-A2B3-9B9E151C0C3A&Options=&Search=,"title
Resolution authorizing the Mayor and the Director of Parks and Recreation to enter into a two-year sponsorship agreement with Clearview Federal Credit Union for the 2025 and 2026 Gingerbread House Display and Tree Lighting Ceremony at no cost to the City.
  body
WHEREAS, each December, the City presents the Gingerbread House Display and Tree Lighting Ceremony at the City-Council Building; and
  WHEREAS, Clearview Federal Credit Union desires to provide the City with financial sponsorship support for the Gingerbread House Display and Tree Lighting Ceremony; and the parties wish to enter into a Sponsorship Agreement for the years 2025 and 2026; and
  Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of Parks and Recreation are authorized to enter into a sponsorship agreement with Clearview Federal Credit Union for the 2025 and 2026 Gingerbread House Display and Tree Lighting Ceremony over two (2) years.  The schedule of sponsorship fee payments due from Clearview Federal Credit Union is as follows:
  2025:                                          Eight Thousand Dollars ($8,000.00)
2026:                                          Eight Thousand Dollars ($8,000.00)
  Section 2.                     All monies from the aforementioned sponsors will be deposited into the following JDE account:  5000731400.48106.00.
  Section 3.                     The authorized sponsorship agreement may also include a Right of First Refusal for the sponsor to continue its sponsorship status for two additional years in a similar capacity, subject to further negotiations by the parties and further approval by City Council.
  Section 4.                     Said Agreement shall be in a form approved by the City Solicitor."
2025-1589,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7254822&GUID=97060D5D-8180-436C-A67B-CD5376665D10&Options=&Search=,"Title
Resolution authorizing the Mayor and Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh to enter into a cooperation agreement with Pittsburgh Regional Transit for post-construction ownership, access, and maintenance of certain City owned steps to be constructed around Downing Street in the 6th Ward of the City of Pittsburgh, at no cost to the city.
  Body
WHEREAS, City is in the process of constructing a certain stairway from Hancock Street via Downing Street connecting to Herron Avenue (the “Project”); and
  WHEREAS, the Project requires public access through property of Pittsburgh Regional Transit in order to maintain a sufficient public right-of-way around the constructed stairway;
  WHEREAS, Pittsburgh Regional Transit is willing to grant these access rights for the public benefit and both parties wish to enter into an agreement to memorialized these rights.
  Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh are authorized to enter into a cooperation agreement with Pittsburgh Regional Transit for post-construction ownership, access, and maintenance responsibilities of certain City owned steps to be constructed around Downing Street in the 6th Ward of the City of Pittsburgh."
