item,link,text
2025-1843,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7403156&GUID=3886EED7-48D7-47A8-B767-86669AF45400&Options=&Search=,"Body
WHEREAS, since its founding in 1975, City Theatre has been a driving force in Pittsburgh’s cultural landscape, producing over 350 plays, including 85 world premieres, and elevating contemporary voices through bold, thought-provoking work; and,
  WHEREAS, what began as an itinerant company performing in parks and community centers has grown into a cornerstone arts institution with a permanent home on the South Side, committed to staging new and relevant stories that reflect the diversity and complexity of modern life; and,
  WHEREAS, City Theatre is deeply embedded in the life of the community, not only as a creative hub, but as an educational partner, maintaining constant connections with local teachers and students through classroom-based playwriting programs, youth engagement, and workshops that nurture creativity and self-expression; and,
  WHEREAS, the organization’s City Connects initiative further strengthens its role in the community by uplifting fellow nonprofits, promoting local programs, and creating platforms for shared storytelling and civic dialogue; and,
  WHEREAS, rooted in the values of Community, Collaboration, and Creativity, City Theatre has spent five decades fostering connection both on and off the stage, empowering voices and enriching the cultural and civic life of Pittsburgh; and,
  WHEREAS, as City Theatre celebrates its 50th anniversary in 2025, the city honors its legacy of innovation, education, and community-building; and,
  Title
NOW THEREFORE BE IT RESOLVED, the City of Pittsburgh commends its artistic excellence, educational impact, and ongoing commitment to uplifting and uniting the Pittsburgh community; and,
  BE IT FUTHER RESOLVED, that the Council of the City of Pittsburgh does hereby recognize May 17th as “City Theatre Day” in the City of Pittsburgh."
2025-1844,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7403157&GUID=96EBDBFB-EB64-4712-807D-8259D657296C&Options=&Search=,"Body
WHEREAS, Joan C. Smith was born on November 26, 1934, in Pittsburgh, Pennsylvania, and from an early age carried a warmth and compassion that would become the foundation of her remarkable legacy; and,
  WHEREAS, Mrs. Smith was a pillar of the Knoxville community and a revered matriarch of the storied 400 block of Zara Street, a block known throughout South Pittsburgh to this day as a political powerhouse, celebrated by its allies and respected by even the slowest wheels of government, and whose strength, wisdom, and civic devotion helped shape its enduring influence; and,
  WHEREAS, Mrs. Smith served for decades as the committee woman for the Thirtieth Ward, District 2, where she advocated for her neighbors, secured a crossing guard for Knoxville, and urged all residents to vote regardless of party, and in her later years passed the torch to her friend and partner Julia Morris, who continues that legacy as committee woman and neighborhood advocate; and,
  WHEREAS, Mrs. Smith, known for her stern and commanding presence, was revered for her integrity, her insistence on truthfulness, and her deep loyalty to those she loved, especially her husband Greg Smith and their devoted children, Rosalyn and Mark, who carry her legacy forward with pride; and,
  WHEREAS, Mrs. Smith’s devotion to faith matched her dedication to service, and she was a vocal and respected member of Rodman Street Baptist Church, where she served faithfully as Superintendent of Sunday School, nurturing generations with care and conviction; and,
  WHEREAS, Mrs. Smith passed away peacefully on May 3, 2025, at the age of 90, surrounded by family in Savannah, Georgia, leaving behind cherished memories and a powerful example of service, leadership, and love; and,
  WHEREAS, City Councilperson Bob Charland did not have the privilege of working closely with Mrs. Smith, but honors her legacy and strives to serve the Knoxville community with the same dedication and spirit she embodied; and,
  Title
NOW THEREFORE BE IT RESOLVED, that the community of Knoxville, the City of Pittsburgh, and Pittsburgh City Council join in mourning the passing and celebrating the life and accomplishments of Mrs. Joan C. Smith; and,
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby declare May 3, 2025, to be “Mrs. Joan Smith Day” in the City of Pittsburgh."
2025-1845,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7403158&GUID=CC837A2C-56CA-42C3-BAB0-04B2E2E63308&Options=&Search=,"Body
WHEREAS, public works professionals focus on infrastructure, facilities, and services that are of vital importance to sustainable and resilient communities and to the public health, high quality of life, and well-being of the people of Pittsburgh; and,
  WHEREAS, these infrastructure, facilities, and services could not be provided without the dedicated efforts of public works professionals, who are engineers, managers, and employees at all levels of government and the private sector, who are responsible for rebuilding, improving, and protecting our nation’s transportation, water supply, water treatment and solid waste systems, public buildings, and other structures and facilities essential for our citizens; and,
  WHEREAS, it is in the public interest for the citizens, civic leaders, and children in Pittsburgh to gain knowledge of and maintain an ongoing interest and understanding of the importance of public works and public works programs in their respective communities; and,
  WHEREAS, the year 2025 marks the 65th annual National Public Works Week sponsored by the American Public Works Association/Canadian Public Works Association;
  Title
NOW, THEREFORE, BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby designate the week May 18-24, 2025, as “National Public Works Week”; and,
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby urge all citizens to join with representatives of the American Public Works Association and government agencies in activities, events, and ceremonies designed to pay tribute to our public works professionals, engineers, managers, and employees and to recognize the substantial contributions they make to protecting our national health, safety, and advancing quality of life for all."
2025-1846,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7403873&GUID=389CBE96-F713-4311-AD69-BEE3B75FEA83&Options=&Search=,"title
Resolution authorizing the Mayor and the Director of Public Safety to enter into an Emergency Services Provider Agreement or agreements with University of Pittsburgh Medical Center and Vitalant, at no cost to the City, for professional services related to the stocking and use of emergency medical supplies for blood transfusions on City Emergency Medical Services vehicles, at no cost to the City.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                      Resolution authorizing the Mayor and the Director of Public Safety to enter into an Emergency Services Provider Agreement or agreements with University of Pittsburgh Medical Center and Vitalant, at no cost to the City, for professional services related to the stocking and use of emergency medical supplies for blood transfusions on City Emergency Medical Services vehicles.
  Section 2.                     Said Agreement or Agreements and amendments thereto shall be approved by the City Solicitor as to form."
2025-1847,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7403874&GUID=B60ED830-E7A4-4C88-AB67-8EB2517B13A7&Options=&Search=,"title
Resolution providing for the issuance of a warrant in favor of RPC Video in the amount of Six Thousand One Hundred Ninety-Eight Dollars ($6,198.00) to extend the City Channel control room video switcher warranty by one year.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of RPC Video in the amount of Six Thousand One Hundred Ninety-Eight Dollars ($6,198.00) to extend the City Channel control room video switcher warranty by one year, chargeable to and payable from Innovation & Performance account:
  $6,198.00 from 1030288000.53509.00"
2025-1848,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7403875&GUID=6E8619E9-EAE9-4BE2-897F-AAB5FF66FE2D&Options=&Search=,"title
Resolution authorizing the Mayor and the Director of the Department of Finance to execute a quit claim deed or deeds, and any other necessary or appropriate documents, agreements, and instruments conveying AS IS all of the City’s right, title and interest, if any, in Block 25-P, Lots 11 and 12, in the 2nd Ward of the City of Pittsburgh (2608 Penn Avenue - Council District 1), to the Urban Redevelopment Authority of Pittsburgh (“URA”) for consideration of $1.00, contingent upon the Mayor and Director of the Department of Finance first entering into a Cooperation Agreement or Agreements with the URA setting forth the rights and obligations of the City and the URA relating to these initial conveyances and further setting forth the rights and obligations of the City and the URA relating to the subsequent disposition of this property to a third party at no cost to the City.
  body
Whereas, pursuant to the Urban Redevelopment Law, 35 P.S. § 1701 et. seq. the URA is authorized to steward the development process, evaluate proposals, and ultimately sell property to promote the City’s economic development; and
  Whereas, pursuant to this authority and subject to the approval of its Board of Directors, the URA desires to acquire all of the City’s right, title and interest, if any, in City-owned properties located in the 2nd Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 25-P, Lots 11 and 12 for consideration of $1.00, contingent upon the Mayor and Director of the Department of Finance first entering into a Cooperation Agreement or Agreements between the City and the URA setting forth the rights and obligations of the City and the URA relating to the conveyances; and
  Whereas, the Council of the City of Pittsburgh now desires to approve the conveyances to the URA, subject to the conditions set forth below.
    Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of the Department of Finance of the City of Pittsburgh are authorized to execute a quitclaim deed or deeds, and any other necessary or appropriate documents, agreements, and instruments conveying AS IS all of the City’s right, title and interest, if any, in Block 25-P, Lots 11 and 12 (Collectively the “Property”), in the 2nd Ward of the City of Pittsburgh to the Urban Redevelopment Authority of Pittsburgh (“URA”) for consideration of $1.00.
  Section 2.                     The aforementioned conveyance of the Property to the URA is contingent upon the prior execution by the Mayor and the Director of the Department of Finance (on behalf of the City of Pittsburgh) a Cooperation Agreement or Agreements with the URA (which Cooperation Agreement(s) are authorized hereunder) setting forth the rights and obligations of the City and the URA, relating to the conveyance, including, without limitation: 1) the URA’s obligations to market the Property, 2) the URA’s right to set the purchase price for the Property, 3) the URA’s obligation to hold and sell the Property to third parties, and 4) the URA’s obligation to remit proceeds minus agreed-upon costs and expenses to the City from the conveyance of the Property within sixty (60) days of the sale of such Property to a third party as further set forth Section 3 herein. The Cooperation Agreement(s) must be approved by the City Solicitor as to form and substance.
  Section 3.                     Within sixty (60) days of the sale of the Property by the URA to a third party, the URA will subtract actual, reasonable expenses incurred by the URA in the acquisition, marketing, holding, and sale of the Property, including costs incurred to clear title of the Property. Thereafter, the URA shall remit twenty percent (20%) of the remaining proceeds of the sale of the Property to the City."
2025-1848,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7403875&GUID=6E8619E9-EAE9-4BE2-897F-AAB5FF66FE2D&Options=&Search=,"title
Resolution authorizing the Mayor and the Director of the Department of Finance to execute a quit claim deed or deeds, and any other necessary or appropriate documents, agreements, and instruments conveying AS IS all of the City’s right, title and interest, if any, in Block 25-P, Lots 11 and 12, in the 2nd Ward of the City of Pittsburgh (2608 Penn Avenue - Council District 1), to the Urban Redevelopment Authority of Pittsburgh (“URA”) for consideration of $1.00, contingent upon the Mayor and Director of the Department of Finance first entering into a Cooperation Agreement or Agreements with the URA setting forth the rights and obligations of the City and the URA relating to these initial conveyances and further setting forth the rights and obligations of the City and the URA relating to the subsequent disposition of this property to a third party at no cost to the City.
  body
Whereas, pursuant to the Urban Redevelopment Law, 35 P.S. § 1701 et. seq. the URA is authorized to steward the development process, evaluate proposals, and ultimately sell property to promote the City’s economic development; and
  Whereas, pursuant to this authority and subject to the approval of its Board of Directors, the URA desires to acquire all of the City’s right, title and interest, if any, in City-owned properties located in the 2nd Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 25-P, Lots 11 and 12 for consideration of $1.00, contingent upon the Mayor and Director of the Department of Finance first entering into a Cooperation Agreement or Agreements between the City and the URA setting forth the rights and obligations of the City and the URA relating to the conveyances; and
  Whereas, the Council of the City of Pittsburgh now desires to approve the conveyances to the URA, subject to the conditions set forth below.
    Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of the Department of Finance of the City of Pittsburgh are authorized to execute a quitclaim deed or deeds, and any other necessary or appropriate documents, agreements, and instruments conveying AS IS all of the City’s right, title and interest, if any, in Block 25-P, Lots 11 and 12 (Collectively the “Property”), in the 2nd Ward of the City of Pittsburgh to the Urban Redevelopment Authority of Pittsburgh (“URA”) for consideration of $1.00.
  Section 2.                     The aforementioned conveyance of the Property to the URA is contingent upon the prior execution by the Mayor and the Director of the Department of Finance (on behalf of the City of Pittsburgh) a Cooperation Agreement or Agreements with the URA (which Cooperation Agreement(s) are authorized hereunder) setting forth the rights and obligations of the City and the URA, relating to the conveyance, including, without limitation: 1) the URA’s obligations to market the Property, 2) the URA’s right to set the purchase price for the Property, 3) the URA’s obligation to hold and sell the Property to third parties, and 4) the URA’s obligation to remit proceeds minus agreed-upon costs and expenses to the City from the conveyance of the Property within sixty (60) days of the sale of such Property to a third party as further set forth Section 3 herein. The Cooperation Agreement(s) must be approved by the City Solicitor as to form and substance.
  Section 3.                     Within sixty (60) days of the sale of the Property by the URA to a third party, the URA will subtract actual, reasonable expenses incurred by the URA in the acquisition, marketing, holding, and sale of the Property, including costs incurred to clear title of the Property. Thereafter, the URA shall remit twenty percent (20%) of the remaining proceeds of the sale of the Property to the City."
2025-1849,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7403931&GUID=A7811F10-FAE5-41A0-9315-765059E97591&Options=&Search=,"title
Resolution authorizing the issuance of a warrant in favor of Cohen Law Group for expert legal services in connection with a litigation matter for an amount not to exceed EIGHT THOUSAND TWO HUNDRED FORTY-SEVEN DOLLARS AND EIGHTY CENTS ($8,247.80) over one year.
(Executive Session held 5/27/25)
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of Cohen Law Group for expert legal services in connection with a litigation matter for an amount not to exceed EIGHT THOUSAND TWO HUNDRED FORTY-SEVEN DOLLARS AND EIGHTY CENTS ($8,247.80) over one year, charging and payable from 11101.108000.53.53517.2025."
2025-1850,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7403932&GUID=01E017A3-CB7B-4015-88C3-40D2100AA2A3&Options=&Search=,"title
Resolution amending Resolution 467 of 2022 titled “Resolution authorizing the Mayor and Director of the Department of Mobility and Infrastructure to apply for a grant from the Pennsylvania Department of Community and Economic Development's Multimodal Transportation Fund for the South 21st Street Complete Green Street Project and further providing for an agreement and expenditures not to exceed ONE MILLION THIRTY SIX THOUSAND FOUR HUNDRED TWENTY TWO ($1,036,422.00) dollars” to decrease the grant amount, accept the grant award, and authorize necessary expenditures.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     Resolution amending resolution 467 of 2022 titled “Resolution authorizing the Mayor and Director of the Department of Mobility and Infrastructure to apply for a grant from the Pennsylvania Department of Community and Economic Development's Multimodal Transportation Fund for the South 21st Street Complete Green Street Project and further providing for an agreement and expenditures not to exceed ONE MILLION THIRTY SIX THOUSAND FOUR HUNDRED TWENTY TWO ($1,036,422.00) dollars” is hereby amended as follows:
  Section 1.                     The Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, are authorized to enter into an Agreement or Agreements with the Pennsylvania Department of Community and Economic Development for the purpose of receiving grant funds in the amount not to exceed TWO HUNDRED AND FIFTY THOUSAND ($250,000) dollars to support the 21st Street Multimodal Project Monies from the grant agreement shall be deposited into the Grants Trust Fund account 6029400465.45527.00.
  Section 2.                     The Mayor, the Director of the Office of Management and Budget and the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, are further authorized to follow regular procurement processes to make all legitimate expenditures required by said Agreement(s) as outlined in Section 1. Said grants expenditures shall not exceed TWO HUNDRED AND FIFTY THOUSAND ($250,000) Dollars, chargeable to and payable from the appropriate expense account in the Grants Trust Fund, job number 6026400465."
2025-1851,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7403933&GUID=8F5C642D-4355-409C-8B61-DEBFDDEC67EC&Options=&Search=,"title
Resolution approving a Conditional Use Application under the Pittsburgh Code, Title Nine, Zoning, Article V, Chapter 911, Section 911.04.A.64 to the Neighborhood Academy, property owner, for authorization to construct additions to a School, Elementary or Secondary (General) use at 709 N Aiken Avenue, Parcel 81-S-63, zoned “R1D-L”, Single-Unit Detached Residential, Low Density, 10th Ward, Council District No. 9.
(Public Hearing held 6/24/25)
  body
Whereas the Planning Commission of the City of Pittsburgh has made certain findings with regard to the conditional use application for authorization to construct additions to a School, Elementary or Secondary (General) use at 709 N Aiken Avenue, Parcel 81-S-63.
  Whereas the Planning Commission of the City of Pittsburgh has recommended approval of this application for Conditional Use.
  Whereas City Council has reviewed the record of the Planning Commission and herewith adopts the findings and recommendations of the Planning Commission.
    Be it resolved by the City Council of the City of Pittsburgh as follows:
  Section 1.                     Upon a review of the record as provided by the Planning Commission of the City of Pittsburgh, it is herewith affirmed that the proposed conditional use has properly met the standards as provided in the Pittsburgh Code Section 922.06.E.1 and that the following criteria were considered:
  a)                     That the development will not create detrimental visual impacts, such that the size and visual bulk of the proposed development is determined to create an incompatible relationship with the surrounding built environment, public streets, open spaces and land use patterns;
  b)                     That the development will not create detrimental transportation impacts, such that the proposed  development is determined to adversely affect the safety and convenience of residential neighborhoods or of vehicular and pedestrian circulation in the vicinity of the subject tract,
including traffic reasonably expected to be generated by the proposed use and other uses in the area given the existing zoning, land uses and proposed land use in the area;
  c)                     That the development will not create detrimental transportation impacts, such that the proposed development will result in traffic volumes or circulation patterns that exceed the capacity of streets and intersections likely to be used by traffic to and from the proposed development;
  d)                     That the development will not create detrimental operational impacts, including potential impacts of hours of operation, management of traffic, servicing and loading operations, and any on-site operations associated with the ongoing functions of the use of the site, in consideration of adjacent and surrounding land uses which may have differing sensitivities to such operational impacts;
  e)                     That the development will not create detrimental health and safety impacts, including but not limited to potential impacts of noise, emissions, or vibrations from the proposed development or functions within the proposed site which would otherwise affect the health or safety of other as a direct result of the operation of the proposed use;
  f)                     That the development will not create detrimental impacts on the future and potential development of parcels in the vicinity of the proposed site of the development; and
  g)                     That the development will not create detrimental impacts on property values.
  Section 2.                     Under the provisions of 911.01.E of the Pittsburgh Code, approval is hereby granted to the Neighborhood Academy, property owner, for authorization to construct additions to a School, Elementary or Secondary (General) use at 709 N Aiken Avenue, Parcel 81-S-63, zoned “R1D-L”, Single-Unit Detached Residential, Low Density, 10th Ward, Council District No. 9 in the City of Pittsburgh, in accordance with Conditional Use Application No. BDA-2025-00439 and accompanying site plan and drawings filed by Sean Donnelly, of Gateway Engineers, which are on file in the Office of the Zoning Administrator, Department of City Planning."
