item,link,text
2025-1834,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380103&GUID=DFE28BB3-A361-48A1-BA9F-B87E7B72AC5C&Options=&Search=,"body
WHEREAS, Motorcycle Awareness Month is the annual campaign to increase awareness of motorcycles on the open road and advocate for measures that improve the safety of riders on our nation’s roads and highways; and,
  WHEREAS, motorcycle riding is a popular form of recreation and transportation for thousands of people across Pittsburgh and the Commonwealth. The safety of all Pittsburgh motorists is an issue of the utmost consequence and all motorists should unite in safe sharing of the City of Pittsburgh’s roadways; and, 
  WHEREAS, more than eight hundred seventy-five thousand licensed motorcyclists are required to keep their vehicles inspected and obey current laws relative to the operator’s safety equipment; and,
  WHEREAS, in efforts to reduce the number of motorcycle crashes and fatalities the Pennsylvania Department of Transportation and the City of Pittsburgh encourages all motorcyclists to avoid becoming another crash statistic and take advantage of the free training courses offered through the Pennsylvania Motorcycle Safety Program; and,
  WHEREAS, it is especially significant that citizens of the City of Pittsburgh be aware of motorcycles on the streets and highways and recognize the importance of staying alert, practicing safe driving techniques, and promoting motorcycle safety; and,
  WHEREAS, during the Month of May, the City of Pittsburgh and the Alliance of Bikers Aimed Toward Education (A.B.A.T.E.) of Pennsylvania’s Allegheny County Chapter will continue their advocacy of motorcycle safety; and,
  WHEREAS, the city of Pittsburgh encourages all motorcyclists to continue their efforts to promote safety and motorcycle awareness and all drivers to respect the unique safety needs of motorcycles; and,
  title
NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby commend A.B.A.T.E. for their efforts in teaching motorcycle safety and awareness; and, 
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare May 2025 to be “Motorcycle Safety Awareness Month” in the City of Pittsburgh."
2025-1836,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7396918&GUID=D3D27890-5A43-4CAA-98FC-01AA35FC3FD6&Options=&Search=,"body
WHEREAS, St. Edmund’s Academy is located in Squirrel Hill and provides a holistic educational experience for more than 300 students between preschool and 8th grade; and,
  WHEREAS, St. Edmund’s Academy (or SEA) instills in students a lifelong sense of responsibility for the environment and social equity through immersive, student-led learning experiences; and,
  WHEREAS, SEA has distinguished itself as the city's first UN Global School, integrating the United Nations' 17 Sustainable Development Goals (SDGs) into its educational framework; and,
WHEREAS, the SDGs are the heart of the UN’s 2030 Agenda for Sustainable Development, a shared blueprint to end poverty, protect the environment, and ensure peace and prosperity for all; and,
  WHEREAS, SEA’s Project-Based Learning approach empowers students to engage with real-world challenges, fostering critical thinking and collaboration in alignment with the SDGs; and,
  WHEREAS, through the Signature Experience for Global Goals, students partner with organizations such as Tree Pittsburgh, Hello Neighbor, 412 Food Rescue, and the Marshall Legacy Institute to address community-specific issues; and,
  WHEREAS, SEA’s curriculum emphasizes global citizenship, culminating in an 8th-grade visit to the United Nations Headquarters, reinforcing students' understanding of international cooperation and sustainable development;
  WHEREAS, St. Edmund’s Academy is hosting its first United Nations Sustainable Development Goals Symposium on Friday, May 16, where students will showcase service learning projects that highlight needs they observe in the local and global communities; and,
  WHEREAS, the City of Pittsburgh values and supports educational initiatives that cultivate future leaders dedicated to building a more just, sustainable, and resilient world.
  title
NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize St. Edmund’s Academy for its outstanding efforts in advancing sustainability and environmental justice through education.
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare May 16, 2025, to be the “Day of Sustainability and Environmental Justice” in the City of Pittsburgh."
2025-1835,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7395149&GUID=FBB95130-6404-4E7B-A334-031EAC72C5B2&Options=&Search=,"title
WHEREAS, it has been 15 years since Pennsylvania last raised its minimum wage to $7.25; and,
  body
WHEREAS, every dollar earned by a worker today is worth a full 51% less than it was in 2006; and,
  WHEREAS, 32 states and Washington, DC, have increased their minimum wage, including every state that borders Pennsylvania; and,
  WHEREAS, Governor Shapiro has called for the statewide minimum wage to increase to $15; and,
  WHEREAS, 1.3 million Pennsylvania workers would benefit from a $15 per hour minimum wage; and,
  WHEREAS, while positive trends in job and wage growth are contributing to a strong and dynamic local economy in Pittsburgh, they are also placing upward pressure on prices, particularly for housing; and,
  WHEREAS, empowering Pittsburgh to establish our own minimum wage policies would allow us to ensure that wage scales in our City reflect the economic realities that our residents face, prevent displacement and brain drain, encourage population growth within the City, and help to secure critical workforce pipelines for our growing industries; and,
  WHEREAS, by calling for an increased wage, Pittsburgh is joining municipalities across the Commonwealth - including Philadelphia, Allentown, and the City of Lancaster - which have passed resolutions in support of HB1150;
  NOW THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh hereby urges the Pennsylvania General Assembly to pass Representative Roni Green’s legislation (HB1150) to raise the minimum wage to $15/hr; and,
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh urges that any minimum wage legislation include an annual cost of living adjustment and grants municipalities local wage freedom by lifting state preemption on wages; and,
  BE IT FURTHER RESOLVED that a copy of this Will of Council will be distributed to the Allegheny County delegations of the Pennsylvania State General Assembly and to the office of Pennsylvania Governor Josh Shapiro."
2025-1821,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380076&GUID=79312445-519F-437B-A629-419DAFB1DD0B&Options=&Search=,"Title
Resolution authorizing the Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Public Safety to enter into an Agreement or Agreements with the Pennsylvania Auto Theft Prevention Agency for the purpose of receiving grant funds in an amount not to exceed FIVE HUNDRED EIGHTY THREE THOUSAND ONE HUNDRED ($583,100) dollars to support the Auto Squad.
  Body
Be it further resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Public Safety, on behalf of the City of Pittsburgh, are authorized to enter into an Agreement or Agreements with the Pennsylvania Auto Theft Prevention Agency for the purpose of receiving grant funds in an amount not to exceed FIVE HUNDRED EIGHTY THREE THOUSAND ONE HUNDRED ($583,100) dollars to support the 2024-2025 Auto Squad Grant. Monies from the grant agreement shall be deposited into the Grants Trust Fund account 2329400516.48311.00.
  Section 2.                      The Mayor, the Director of the Office of Management and Budget and the Director of the Department of Public Safety, on behalf of the City of Pittsburgh, are further authorized to follow regular procurement processes to make all legitimate expenditures required by said Agreement(s) as outlined in Section 1. Said grant expenditures shall not exceed FIVE HUNDRED EIGHTY THREE THOUSAND ONE HUNDRED ($583,100), chargeable to and payable from the appropriate expense account in the Grant Trust Fund, job number 2329400516."
2025-1822,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380077&GUID=D7EF26FA-B455-4F81-AD31-1F770EAC34F2&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of Public Safety to enter on behalf of the City of Pittsburgh into an Agreement or Agreements with Von der haus Gill German Shepherds Inc., for the purchase of canines for the Bureau of Police, at a cost not to exceed THIRTY THOUSAND DOLLARS ($30,000.00) over three years.
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of Public Safety, on behalf of the City of Pittsburgh, are hereby authorized to enter into an Agreement of Agreements with Von der haus Gill German Shepherds Inc., to provide canines to Pittsburgh Bureau of Police at a cost not to exceed THIRTY THOUSAND DOLLARS ($30,000.00) over three years.
  Section 2.                      Funds for said agreement shall be chargeable and payable from the following chart of accounts:
  2025
11101.230000.53.53533.2025                                          $10,000.00
  2026
11101.230000.53.53533.2026                                          $10,000.00
  2027
11101.230000.53.53533.2027                                          $10,000.00
  TOTAL NOT TO EXCEED                                          $30,000.00
  Section 3.                     The agreements or agreements and amendments are subject to the approval of the City Solicitor as to form."
2025-1823,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380078&GUID=9F2E6AE8-CB88-49A8-A0E7-042FEE3461D8&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of Public Safety to enter on behalf of the City of Pittsburgh into an Agreement or Agreements with Brawner Group K-9 Services LLC., for the purchase of canines for the Bureau of Police, at a cost not to exceed THIRTY THOUSAND DOLLARS ($30,000.00) over three years.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of Public Safety, on behalf of the City of Pittsburgh, are hereby authorized to enter into an Agreement of Agreements with Brawner Group K-9 Services LLC., to provide canines to Pittsburgh Bureau of Police at a cost not to exceed THIRTY THOUSAND DOLLARS ($30,000.00) over three years.
  Section 2.                      Funds for said agreement shall be chargeable and payable from the following chart of accounts:
  2025
2329400120. 53533.00                                                               $9,500.00
  2026
11101.230000.53.53533.2026                                          $10,000.00
  2027
11101.230000.53.53533.2027                                          $10,500.00
  TOTAL NOT TO EXCEED                                          $30,000.00
  Section 3.                     The agreements or agreements and amendments are subject to the approval of the City Solicitor as to form."
2025-1824,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380079&GUID=CACE450B-C682-4BA2-9B46-FA16E2B6BFA2&Options=&Search=,"Title
Resolution authorizing Council’s consent to an extension, pursuant to § 922.05.E of the Pittsburgh Code of Ordinances (the “Zoning Code”), of the deadline for Council to act on Council Bill #2024-1214.
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     At the request of the Honorable Anthony Coghill, Councilman, District 4, City Council, and the Honorable Deborah Gross, Councilwoman, District 7, City of Pittsburgh hereby consents to an extension of time pursuant to § 922.05.E of the Zoning Code for Council action on Council Bill #2024-1214, entitled, “Ordinance amending and supplementing the Pittsburgh Code of Ordinances, Title Nine, Zoning Code, Article V, Use Regulations, Chapter 911, Primary Uses, Section 911.02, Use Table, by adding a new use, ‘Interim Housing’, and supplementing Section 911.04, ‘Use Standards’, by adding standards for the same.”, which was referred to the Planning Commission for a report and recommendation on November 25, 2024. The Planning Commission took action on January 14, 2025, meaning Council has until May 14, 2025 to hold the required hearing. City Council consents to a sixty (60) day extension, changing the deadline for Council to hold the required public hearing to July 14, 2025.
  Section 2.                     Any Resolutions or Ordinances inconsistent with the provisions of this Resolution are hereby repealed to the extent of the conflict or inconsistency."
2025-1825,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380094&GUID=D6B9C250-7B31-4727-BF2B-CD255094C047&Options=&Search=,"Title
Resolution adopting Plan Revision to the City of Pittsburgh’s Official Sewage Facilities Plan for 1300 Gardner Street, Pittsburgh, PA 15212, at no cost to the city.
  Body
WHEREAS, SECTION 5 of the Act of January 24, 1966, P.L. 1535, No. 537, known as the ""Pennsylvania Sewage Facilities Act,"" as amended, and the rules and regulations of the Pennsylvania Department of Environmental Protection (the “Department”) adopted thereunder, Chapter 71 of Title 25 of the Pennsylvania Code, requires the City of Pittsburgh to adopt an Official Sewage Facilities Plan (the “Official Plan”) providing for sewage services adequate to prevent contamination of waters of the Commonwealth and/or environmental health hazards from sewage wastes, and to revise said plan whenever it is necessary to determine whether a proposed method of sewage disposal for a new development conforms to a comprehensive program of pollution control and water quality management; and
  WHEREAS Anthony Talotta has proposed development of Troy Hill Apartments located at 1300 Gardner Street, Pittsburgh, PA 15212, Allegheny County, at block and lots 24-D-264, in the City of Pittsburgh and described in the attached Sewage Facilities Planning Module (the ""Planning Module"") for land development and proposes that the project be served by one sewer tap-ins to the City of Pittsburgh sewage systems; and
  WHEREAS, the Pittsburgh Water Sewer Authority, the Allegheny County Sanitary Authority, the City of Pittsburgh Planning Department and the Allegheny County Health Department have reviewed the respective components of the attached Planning Module regarding each authority/department’s expertise and have approved the respective components as explained in the attached Planning Module. 
  WHEREAS, based upon the approval of the above authorities and departments, the City of Pittsburgh finds that the project described in the attached Planning Module for land development conforms to applicable zoning, subdivision, other municipal ordinances and plans, and to a comprehensive program of pollution control and water quality management.
  BE IT RESOLVED BY THE COUNCIL OF THE CITY OF PITTSBURGH AS FOLLOWS:
  SECTION 1. The City of Pittsburgh hereby adopts as a Plan Revision to the City of Pittsburgh’s Official Sewage Facilities Plan the above-referenced Planning Module for land development, at no cost to the City, which is attached hereto as Exhibit A.
  Said Planning Module includes the proposed 1300 Gardner Street, Allegheny County, at block and lots 24-D-265, in the 24th Ward of the City of Pittsburgh.
  Finally, that any Ordinance or Resolution or part thereof conflicting with the provisions of this Resolution, is hereby repealed so far as the same affects this Resolution."
2025-1826,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380095&GUID=ADC26C91-D4AC-4F28-94BB-27FCFEE5A289&Options=&Search=,"Title
Resolution authorizing the Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Public Works to enter into an Agreement or Agreements with the United States Department of Housing and Urban Development for the purpose of receiving grant funds from FY24 Community Project Funding in the amount not to exceed ONE MILLION SIX HUNDRED AND SIXTY-SIX THOUSAND AND TWO HUNDRED AND SEVENTY-NINE ($1,666,279.00) dollars to construct the Field House in Homewood Park, specifically to fund the construction of the field house, amphitheater, and community gathering space.
  Body
Be it further resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Public Works to enter into an Agreement or Agreements with the United States Department of Housing and Urban Development for the purpose of receiving grant funds from FY24 Community Project Funding in the amount not to exceed ONE MILLION SIX HUNDRED AND SIXTY-SIX THOUSAND AND TWO HUNDRED AND SEVENTY-NINE ($1,666,279.00) dollars to construct the Field House in Homewood Park, specifically to fund the construction of the field house, amphitheater, and community gathering space. Monies from the grant agreement shall be deposited into the Grants Trust Fund account 4029400517.45703.00.
  Section 2.                     The Mayor, the Director of the Office of Management and Budget and the Director of the Department of Public Works, on behalf of the City of Pittsburgh, are further authorized to follow regular procurement processes to make all legitimate expenditures required by said Agreement(s) as outlined in Section 1. Said grants expenditures shall not exceed ONE MILLION SIX HUNDRED AND SIXTY-SIX THOUSAND AND TWO HUNDRED AND SEVENTY-NINE ($1,666,279.00) dollars, chargeable to and payable from the appropriate expense account in the Grants Trust Fund, job number 4029400517."
2025-1827,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7380096&GUID=E31BD17F-B4C5-41BA-BEB2-A019102FC40B&Options=&Search=,"Title
Resolution approving execution of a Contract for Disposition by Sale of Land between the Urban Redevelopment Authority of Pittsburgh and Housing Authority of the City of Pittsburgh, or a related entity, for the sale of a to-be-subdivided portion of Block 25-S, Lot 112, in the 5th Ward of the City of Pittsburgh (2829 Bedford Avenue - Council District No. 6), at no cost to the City.
  Body
Whereas, the Urban Redevelopment Authority of Pittsburgh has requested authorization to execute a Contract for Disposition by Sale of Land by and between the Urban Redevelopment Authority of Pittsburgh and Housing Authority of the City of Pittsburgh, or a related entity, for the sale of a to-be-subdivided portion of Block 25-S, Lot 112, in the 5th Ward of the City of Pittsburgh, for the sum of $237,000 plus costs; 
  Whereas the proposed Contract includes property located in the redevelopment area known as the Greater Hill District Redevelopment Area; and
  Whereas, the Council of the City of Pittsburgh believes that the proposed Contract is in the best interest of the City of Pittsburgh and desires to give its approval in accordance with the provisions of the Urban Redevelopment Law.
  Now, Therefore, Be It Resolved by the Council of The City of Pittsburgh as follows:
  Section 1.  That execution of the Contract for Disposition by Sale of Land by and between the Urban Redevelopment Authority of Pittsburgh and Housing Authority of the City of Pittsburgh, or a related entity, for the sale of a to-be-subdivided portion of Block 25-S, Lot 112, in the 5th Ward of the City of Pittsburgh for the sum of $237,000 plus costs, be and the same is hereby approved."
